HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
topografski	_	topografski	0	0	0	0	0	0	0	0	0	0
topografija	_	topografija	0	0	0	0	0	0	0	0	0	0
prevrnuti	omvallen, kantelen	prevrniti	0	0	0	0	0	0	0	0	1	0
tor	_	tor	0	0	0	0	0	0	0	0	0	0
baklja	_	bakla	0	0	0	0	0	0	0	0	0	0
mučiti, mučenje	kwellen, kwelling	trpljenje, muka, trpinčiti	0	1	1	0	0	1	0	1	0	0
rastrgnut	gescheurd	razklan	0	1	0	0	0	0	0	0	0	0
tornado	tornado	tornado	0	0	0	0	0	1	0	0	0	0
torpedo	torpedo	torpedo	0	1	1	0	0	0	0	0	0	0
bujica	stortvloed	hudournik	0	0	0	0	0	1	0	0	0	0
tropski	heet, warm, passioneel	vročičen	0	1	0	0	0	0	0	0	0	0
torzija	_	torzija	0	0	0	0	0	0	0	0	0	0
torzo	_	trup, torzo	0	0	0	0	0	0	0	0	0	0
delikt	benadeling, onrecht	škoda, škodno dejanje	0	1	0	0	0	0	0	0	0	0
štetan	onrechtmatig	nezakonit	0	1	1	0	1	0	0	0	0	0
kornjača	_	želva	0	0	0	0	0	0	0	0	0	0
vijugav, krivudav, zavojit	_	vijugast	0	0	0	0	0	0	0	0	0	0
mučenje, mučiti	martelen, marteling	mučenje	0	1	1	1	1	1	0	1	0	0
baciti, bacanje	_	met, metati	0	0	0	0	0	0	0	0	0	0
ukupno	_	skupaj	0	0	0	0	0	0	0	0	0	0
cjelina	_	celota	0	0	0	0	0	0	0	0	0	0
potpuno	_	popolnoma	0	0	0	0	0	0	0	0	0	0
torba, prenositi	_	prenašati	0	0	0	0	0	0	0	0	0	0
totem	_	totem	0	0	0	0	0	0	0	0	0	0
dodir, dodirnuti, dotaknuti	_	tikati, dotakniti	0	0	0	0	0	0	0	0	0	0
ganut, dirnut	aangeraakt, geraakt	presunjen, prismuknjen	0	1	0	0	0	0	0	0	0	0
dodirivanje	_	tikanje	0	0	0	0	0	0	0	0	0	0
uvredljiv	gevoelig	občutljiv	0	1	1	0	0	0	0	1	0	0
grub, krut	taai, hard	trpežen	0	1	0	0	0	0	0	1	0	0
žilavost, izdržljivost, otpornost	taaiheid, hardheid	nepopustljivost, neomajnost	1	0	1	0	0	1	0	0	0	1
obilazak	_	potovanje, izlet	0	0	0	0	0	0	0	0	0	0
turist	_	turist	0	0	0	0	0	0	0	0	0	0
turmalin	_	turmalin	0	0	0	0	0	0	0	0	0	0
turnir	_	turnir	0	0	0	0	0	0	0	0	0	0
podveza	_	preveza	0	0	0	0	0	0	0	0	0	0
reklamirati	_	preprodajalec	0	0	0	0	0	0	0	0	0	0
vući	_	predivo, vleči	0	0	0	0	0	0	0	0	0	0
ručnik	_	brisača	0	0	0	0	0	0	0	0	0	0
nadvisiti	toren	stolp	1	0	0	0	0	0	0	0	0	0
impozantan	torenhoge	veličasten	1	0	0	1	0	1	0	0	0	0
grad	_	mesto	0	0	0	0	0	0	0	0	0	0
kuća	_	mestna hiša	0	0	0	0	0	0	0	0	0	0
otrovan, toksičan	giftig	strupen, toksičen	0	1	0	0	1	0	0	0	0	0
toksikologija	_	toksikologija	0	0	0	0	0	0	0	0	0	0
toksin	toxine	toksin	0	1	0	0	0	1	0	0	0	0
igračka	_	igrača	0	0	0	0	0	0	0	0	0	0
trag	_	sled	0	0	0	0	0	0	0	0	0	0
tragovi, obrisi	_	znak	0	0	0	0	0	0	0	0	0	0
dušnik	_	sapnik	0	0	0	0	0	0	0	0	0	0
precrtavanje	_	sledenje	0	0	0	0	0	0	0	0	0	0
slijediti	spoor, opsporen	peron, steza	0	0	0	1	0	0	0	0	0	0
trakt	kanaal	razprava	0	0	0	0	0	1	0	0	0	0
popustljiv	_	obvladljiv, rešljiv	0	0	0	0	0	0	0	0	0	0
vuča	_	vleka	0	0	0	0	0	0	0	0	0	0
traktor	_	traktor	0	0	0	0	0	0	0	0	0	0
trgovina	handel, ruilhandel, ruilen, handelen	trgovanje, posel, trgovina	0	0	0	0	0	0	0	0	0	1
trgovac	_	trgovec	0	0	0	0	0	0	0	0	0	0
trgovac	_	trgovec	0	0	0	0	0	0	0	0	0	0
trgovački	_	trgovanje	0	0	0	0	0	0	0	0	0	0
tradicija	_	tradicija	0	0	0	0	0	0	0	0	0	0
tradicionalan	traditioneel	tradicionalen	1	0	0	0	0	0	0	0	0	0
promet	_	promet	0	0	0	0	0	0	0	0	0	0
tragedija	tragedie	tragedija	0	1	0	0	0	1	0	1	0	0
tragičan	tragisch	tragičen	0	1	0	0	0	0	0	0	0	0
trag, staza	_	pot	0	0	0	0	0	0	0	0	0	0
vlak	_	vlak	0	0	0	0	0	0	0	0	0	0
obučen	_	usposobljen	0	0	0	0	0	0	0	0	0	0
trener	trainer	trener	0	0	0	0	0	0	0	0	0	1
trening	_	usposabljanje	0	0	0	0	0	0	0	0	0	0
svojstvo	_	značaj, poteza	0	0	0	0	0	0	0	0	0	0
izdajnik	verrader	izdajalec	0	1	1	0	1	1	0	1	0	0
putanja	_	tirnica, krivulja	0	0	0	0	0	0	0	0	0	0
tramvaj	_	tramvaj	0	0	0	0	0	0	0	0	0	0
skitnica	landloper, zwerver	potepuh, klatež, cipa, vlačuga	0	1	0	0	1	1	0	1	0	0
tramvaj	_	tramvaj	0	0	0	0	0	0	0	0	0	0
trans	trance	trans, zamaknjenost	0	1	0	0	0	0	0	0	0	0
miran, smiren, spokojan	rustig	miren, spokojen	1	0	0	0	0	0	1	0	0	0
spokoj, mir, smirenost	kalmte, rust	umirjenost, spokojnost	1	0	0	0	0	0	1	0	0	1
provesti, izvršiti	_	skleniti, izvesti	0	0	0	0	0	0	0	0	0	0
transakcija	transactie	transakcija	0	0	0	0	0	0	0	0	0	1
prekoatlantski	_	čezatlantski, transatlantski	0	0	0	0	0	0	0	0	0	0
nadilaženje	transcendentie	transcendenca	1	0	0	1	0	0	1	0	1	1
transcedentan	_	transcendentalen	0	0	0	0	0	0	0	0	0	0
transcedentalan	transcendentaal	transcedentalen	1	0	0	0	0	0	0	0	0	0
prepisati, transkribirati	_	prepisati	0	0	0	0	0	0	0	0	0	0
prepisivač	_	prepisovalec	0	0	0	0	0	0	0	0	0	0
prijepis	transcript, transcriptie	prepis, zapis	0	0	0	0	0	0	0	0	0	1
transkripcija	_	transkripcija	0	0	0	0	0	0	0	0	0	0
prijenos	_	prenos	0	0	0	0	0	0	0	0	0	0
prijenos	_	prepis	0	0	0	0	0	0	0	0	0	0
prebačen, prenesen	_	prenesen	0	0	0	0	0	0	0	0	0	0
opčinjen	_	prevzet	0	0	0	0	0	0	0	0	0	0
transformirati	_	preoblikovati	0	0	0	0	0	0	0	0	0	0
transformacija	_	preobrazba	0	0	0	0	0	0	0	0	0	0
transfuzija	_	transfuzija	0	0	0	0	0	0	0	0	0	0
prijestup	overtreding	prekršek, transgresija	0	1	0	0	0	0	0	0	0	0
prolazan	_	prehoden, začasen	0	0	0	0	0	0	0	0	0	0
tranzit	_	tranzit, prehod	0	0	0	0	0	0	0	0	0	0
tranzicija	_	prehod, tranzicija	0	0	0	0	0	0	0	0	0	0
prijelazan	overgangs-, tijdelijk, voorlopig	prehoden	0	0	0	1	0	0	0	0	0	0
prijelazan	_	prehoden	0	0	0	0	0	0	0	0	0	0
prolazan	_	prehoden	0	0	0	0	0	0	0	0	0	0
prevesti	_	prevesti	0	0	0	0	0	0	0	0	0	0
prijevod	vertaling	prevod	0	0	0	0	0	0	0	0	0	1
translokacija, premještaj	_	premestitev	0	0	0	0	0	0	0	0	0	0
proziran	_	prosojen, prozoren	0	0	0	0	0	0	0	0	0	0
prijenos	_	prenos	0	0	0	0	0	0	0	0	0	0
prenositi	_	prenesti	0	0	0	0	0	0	0	0	0	0
transmutacija	_	pretvorba, sprememba	0	0	0	0	0	0	0	0	0	0
nadvratnik	_	zrcalo	0	0	0	0	0	0	0	0	0	0
prozirnost	_	prosojnost, preglednost	0	0	0	0	0	0	0	0	0	0
proziran	_	prozoren, pregleden	0	0	0	0	0	0	0	0	0	0
presaditi	_	presaditi	0	0	0	0	0	0	0	0	0	0
transplantacija	_	presaditev	0	0	0	0	0	0	0	0	0	0
prijevoz	_	prevoz	0	0	0	0	0	0	0	0	0	0
transport	_	prevažanje	0	0	0	0	0	0	0	0	0	0
prenositi	_	prenesti	0	0	0	0	0	0	0	0	0	0
transpozicija	_	prenos	0	0	0	0	0	0	0	0	0	0
dijagonalan	_	prečen	0	0	0	0	0	0	0	0	0	0
uhvatiti	_	past	0	0	0	0	0	0	0	0	0	0
hvatanje	_	varanje	0	0	0	0	0	0	0	0	0	0
znakovi	attributen	pritikline, zanmenja	0	1	0	0	0	0	0	0	0	0
zamka, klopka, stupica	valkuilen, valstrikken	past	0	1	0	0	0	0	0	0	0	0
smeće	vuilnis, afval, uitschot	smeti	0	1	0	0	1	0	0	1	0	0
bezvrijedan, loš, bezvezan	vuil	cenen, ničvreden	0	1	0	0	1	0	0	0	0	0
traumatičan, potresan	traumatisch	travmatičen, pretresljiv	0	1	1	0	0	1	0	1	0	0
crnčiti, rintati	zich inspannen	garanje, popadki	0	1	0	0	0	0	0	0	0	0
putovati	_	potovati, potovanje	0	0	0	0	0	0	0	0	0	0
putnik	_	potnik, popotnik	0	0	0	0	0	0	0	0	0	0
putujući	op reis	potovanje, potovalen	1	0	0	0	0	0	0	0	0	0
prijeći	_	prečkati	0	0	0	0	0	0	0	0	0	0
travestija	travestie	parodija, travestija	0	1	0	0	1	1	0	1	0	0
mreža	_	loviti z vlečno mrežo	0	0	0	0	0	0	0	0	0	0
kočar	_	plovilo z vlečno mrežo	0	0	0	0	0	0	0	0	0	0
pladanj	_	pladenj	0	0	0	0	0	0	0	0	0	0
izdajnički, opasan	verraderlijk	varljiv, izdajalski	0	1	1	0	1	1	0	0	0	0
izdaja	verraad	izdajstvo, varljivost	0	1	1	0	0	1	0	1	1	0
korak	_	hoja, stopati	0	0	0	0	0	0	0	0	0	0
traka	loopband	rutina, tekalna steza	0	0	0	1	0	0	0	0	0	0
izdaja	verraad	uzdaja	0	1	1	0	1	1	0	0	1	0
blago	schat	zaklad	1	0	0	1	0	0	1	0	0	1
blagajnik	penningmeester, schatbewaarder	blagajnik	0	0	0	0	0	0	0	0	0	1
riznica	_	zakladnica	0	0	0	0	0	0	0	0	0	0
liječiti	traktatie	pogostiti, ravnati, obravnavati, privoščiti si, zdraviti, priboljšek	1	1	1	1	1	1	1	1	1	1
rasprava	_	razprava	0	0	0	0	0	0	0	0	0	0
tretman	_	zdravljenje	0	0	0	0	0	0	0	0	0	0
ugovor	_	pogodba	0	0	0	0	0	0	0	0	0	0
trostruk	_	trojen, trikraten	0	0	0	0	0	0	0	0	0	0
drvo, stablo	boom	drevo	1	0	1	1	1	0	1	0	1	1
putovati, pješačenje	_	treking, pešačenje	0	0	0	0	0	0	0	0	0	0
rešetka	_	ogrodje, mreža	0	0	0	0	0	0	0	0	0	0
tresti	_	tresti, drgetati, tresenje	0	0	0	0	0	0	0	0	0	0
drhtanje, drhtav	bevend, trillend	tresoč, trepetajoč	0	1	0	0	0	1	0	0	0	0
ogroman	_	enormen, ogromen	0	0	0	0	0	0	0	0	0	0
izuzetno	enorm	strašansko, nadpovprečno	1	0	0	0	0	0	0	0	0	0
tremor	tremor	tresenje, drget	0	1	1	1	0	1	0	1	0	0
kanal	_	jarek	0	0	0	0	0	0	0	0	0	0
trend	neiging, trend	trend, težnja	1	0	0	0	0	0	0	0	0	0
kretanje	_	težnja	0	0	0	0	0	0	0	0	0	0
moderan	modieus	moden, trendovski	1	0	0	0	0	0	0	0	0	0
strah, strepnja	vrees, angst, schrik, zenuwen	bojazen, strah, tesnoba	0	1	0	1	0	1	0	0	1	0
prijestup, prekoračiti	overtreding, schending, verboden terrein betreden, overtreding begaan	motenje posesti	0	1	1	0	0	0	0	0	0	0
trijada	_	triada	0	0	0	0	0	0	0	0	0	0
trokut	_	trikotnik	0	0	0	0	0	0	0	0	0	0
trokutan	_	trikoten	0	0	0	0	0	0	0	0	0	0
pleme	stam	pleme	0	0	0	0	0	0	0	0	0	1
iskušenje	beproeving	trpljenje, bridkost	0	1	0	0	0	1	0	1	0	0
sudnica	tribunaal	sodišče	0	1	0	1	1	1	0	0	0	1
tribina	tribune	tribuna	0	0	0	0	0	0	0	0	0	1
pomoćni	zijrivier	pritok, pomožen	1	0	0	1	0	0	0	0	0	0
počast	eerbetoon, hommage, ode, hulde	spoštovanje	1	0	0	0	0	0	0	0	0	0
prevariti	truc	trik, zvijača	0	1	0	0	0	0	0	0	1	0
varanje, smicalica	bedriegerij	goljufija, sleparija	0	1	1	0	1	1	0	1	1	0
kapati	_	curljati, kaplja	0	0	0	0	0	0	0	0	0	0
zeznut	_	varljiv, goljufiv	0	0	0	0	0	0	0	0	0	0
tricikl	_	tricikel	0	0	0	0	0	0	0	0	0	0
trozubac	_	trizob, trident	0	0	0	0	0	0	0	0	0	0
tričarija, tratiti	kleinigheid	nepomembnost	0	1	0	0	0	0	0	0	0	0
dotjeran	NO TRANSLATION	fin	1	0	0	0	0	0	0	0	0	0
okidač	_	sprožilec	0	0	0	0	0	0	0	0	0	0
trigonometrija	_	trigonometrija	0	0	0	0	0	0	0	0	0	0
bilijun	_	trilijon	0	0	0	0	0	0	0	0	0	0
podšišati	_	obrezovanje	0	0	0	0	0	0	0	0	0	0
šišač	_	oportunist	0	0	0	0	0	0	0	0	0	0
podrezivanje	_	obrezovanje	0	0	0	0	0	0	0	0	0	0
trostruk	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
trojstvo	_	trojica	0	0	0	0	0	0	0	0	0	0
trio	_	trio	0	0	0	0	0	0	0	0	0	0
putovanje	reis	spotikljaj	0	0	0	0	0	0	0	0	1	0
trojni, trostran	_	tristranski	0	0	0	0	0	0	0	0	0	0
utrostručiti	_	trojen	0	0	0	0	0	0	0	0	0	0
trojka	_	trojček	0	0	0	0	0	0	0	0	0	0
utrostručiti	_	trojen	0	0	0	0	0	0	0	0	0	0
tronožac	_	stojalo	0	0	0	0	0	0	0	0	0	0
spoticanje	struikelen	spotiknje	0	1	1	0	0	0	0	1	0	0
običan	_	plehek, oguljen	0	0	0	0	0	0	0	0	0	0
tricij	_	tritij	0	0	0	0	0	0	0	0	0	0
trijumf, pobjeda	triomf	zmaga	1	0	0	1	0	0	1	0	0	0
pobjednički	triomfantelijk	zmagoslaven	1	0	0	1	0	0	1	0	0	1
trol	trol	troll, škrat	0	1	1	0	0	1	0	0	0	0
kolica	_	voziček	0	0	0	0	0	0	0	0	0	0
trombon	_	pozavna, trombon	0	0	0	0	0	0	0	0	0	0
vojnik	_	vojska, skupina	0	0	0	0	0	0	0	0	0	0
policajac	_	tankist, konjenik	0	0	0	0	0	0	0	0	0	0
trupa	_	četa	0	0	0	0	0	0	0	0	0	0
trofej, nagrada	trofee	nagrada, trofeja	1	0	0	1	0	0	1	0	1	1
tropski	_	tropski	0	0	0	0	0	0	0	0	0	0
kas	_	kas	0	0	0	0	0	0	0	0	0	0
problematičan	lastig	težaven, nadležen	0	1	1	0	0	1	0	0	0	0
kroz	_	skozi	0	0	0	0	0	0	0	0	0	0
družina	_	skupina	0	0	0	0	0	0	0	0	0	0
hlače	_	hlače	0	0	0	0	0	0	0	0	0	0
pastrva	_	postrv	0	0	0	0	0	0	0	0	0	0
lopatica	_	kela, lopatica	0	0	0	0	0	0	0	0	0	0
primirje	wapenstilstand, bestand	premirje	1	0	0	0	0	0	1	0	0	1
kamion	vrachtauto	tovornjak	0	0	0	0	0	0	0	0	0	1
istinit	TRUE	pravi, resničen	1	0	0	0	0	0	1	0	0	1
istina	_	floskula	0	0	0	0	0	0	0	0	0	0
truba	troef, overtreffen	adut	0	0	0	0	0	0	0	0	1	0
truba	trompet	trobiti	0	1	0	0	0	0	0	0	0	0
trubač	_	trobentač	0	0	0	0	0	0	0	0	0	0
skratiti	_	krajšati	0	0	0	0	0	0	0	0	0	0
skraćen	_	okrnjen	0	0	0	0	0	0	0	0	0	0
kotač	_	kotaliti	0	0	0	0	0	0	0	0	0	0
deblo, prtljažnik	_	prtljažnik	0	0	0	0	0	0	0	0	0	0
krovište	band	ogrodje	0	0	0	0	0	0	0	0	0	1
povjerenje	vertrouwen	zaupanje	0	0	0	0	0	0	0	0	0	1
povjerenik	curator	zaupnik, skrbnik	0	0	0	0	0	0	0	0	0	1
pouzdan	betrouwbaar	zanesljiv	1	0	0	0	0	0	0	0	0	0
istina	waarheid	resnica	1	0	0	0	0	0	0	0	0	1
istinit	waarheidlievend	resničen	0	0	0	0	0	0	0	0	0	1
istinitost	waarachtigheid	resnicoljubnost	1	0	0	0	0	0	0	0	0	1
proba	_	preizkušnja	0	0	0	0	0	0	0	0	0	0
kada	_	kad, banja	0	0	0	0	0	0	0	0	0	0
cijev	_	cev	0	0	0	0	0	0	0	0	0	0
cjevast	_	cevast	0	0	0	0	0	0	0	0	0	0
cjevčica	_	cevčica	0	0	0	0	0	0	0	0	0	0
umetnuti	_	guba, zlagati	0	0	0	0	0	0	0	0	0	0
hrana	_	prehrana, utrujati	0	0	0	0	0	0	0	0	0	0
čupav	_	šopast	0	0	0	0	0	0	0	0	0	0
vući	_	vlek, vlačilec	0	0	0	0	0	0	0	0	0	0
školarina	_	šolnina, poučevanje	0	0	0	0	0	0	0	0	0	0
tulipan	_	tulipan	0	0	0	0	0	0	0	0	0	0
spotaknuti se	tuimelen	zgrmeti, telebniti	0	1	0	0	0	0	0	0	0	0
čaša	_	kozarec, sušilnik	0	0	0	0	0	0	0	0	0	0
tumor	tumor	tumor	0	1	0	0	0	1	0	0	0	0
tumor	tumor	tumor	0	1	0	0	0	1	0	1	0	0
graja, metež, strka	tumult	hrup, trušč, nemir	0	1	1	0	0	1	0	0	1	0
buran	onstuimig	hrupen, vznemirjen	0	1	1	0	0	1	0	0	0	0
posuda, bačva	_	sod	0	0	0	0	0	0	0	0	0	0
tuna	_	tuna	0	0	0	0	0	0	0	0	0	0
podesiv	_	nastavljiv	0	0	0	0	0	0	0	0	0	0
melodija	_	melodija, nastavitev	0	0	0	0	0	0	0	0	0	0
tunika	_	tunika	0	0	0	0	0	0	0	0	0	0
ugađanje	_	nastavljanje	0	0	0	0	0	0	0	0	0	0
tunel	_	tunel, predor	0	0	0	0	0	0	0	0	0	0
turban	_	turban	0	0	0	0	0	0	0	0	0	0
zamućenost	_	motnost	0	0	0	0	0	0	0	0	0	0
turbina	_	turbina	0	0	0	0	0	0	0	0	0	0
nemir, metež, turbulencija	onstuimigheid, turbulentie	turbulenca	0	1	1	0	0	1	0	0	0	0
turbulentan, buran, nemiran	wild, turbulent	turbulenten, viharen	0	1	0	0	0	1	0	0	0	0
ledina, travnjak	_	trata, ruša	0	0	0	0	0	0	0	0	0	0
kurkuma	_	kurkuma	0	0	0	0	0	0	0	0	0	0
nemir, metež, zbrka, kaos	beroering	direndaj	0	1	1	0	0	1	0	1	0	0
skretanje, okret, okrenuti se	_	obrat, obrniti	0	0	0	0	0	0	0	0	0	0
okretanje	_	obračanje	0	0	0	0	0	0	0	0	0	0
ključar	_	ključ	0	0	0	0	0	0	0	0	0	0
obilaznica	_	zapornica	0	0	0	0	0	0	0	0	0	0
okretnica	_	okretnica	0	0	0	0	0	0	0	0	0	0
tirkizan	_	turkizen	0	0	0	0	0	0	0	0	0	0
kupola	_	stolp, kupola	0	0	0	0	0	0	0	0	0	0
dolčevita	_	pulover	0	0	0	0	0	0	0	0	0	0
tučnjava	worsteling	ruvati se, pretep	0	0	1	0	0	0	0	0	0	0
skrbništvo, tutorstvo	voogdij	tutorstvo, skrbništvo	1	0	0	0	0	0	0	0	0	1
učitelj, tutor	leermeester, tutor	mentor, tutor	1	0	0	0	0	0	0	0	0	0
štipnuti	_	ščipati, ščipanje	0	0	0	0	0	0	0	0	0	0
dvanaesti	_	dvanajsti	0	0	0	0	0	0	0	0	0	0
dvanaest	_	dvanajst	0	0	0	0	0	0	0	0	0	0
dvadeseti	_	dvajseti	0	0	0	0	0	0	0	0	0	0
dvadeset	_	dvajset	0	0	0	0	0	0	0	0	0	0
grančica	_	veja, poganjek	0	0	0	0	0	0	0	0	0	0
sumrak	_	somrak	0	0	0	0	0	0	0	0	0	0
keper	_	keper	0	0	0	0	0	0	0	0	0	0
blizanac	tweeling	dvojček	1	0	0	0	0	0	0	0	0	0
uže	_	vrvica	0	0	0	0	0	0	0	0	0	0
svjetlucati	twinkelen	utripati, utripanje	1	0	0	1	0	0	1	0	0	0
blizanci	_	dvojček	0	0	0	0	0	0	0	0	0	0
uviti	_	viti, vrtenje, zasuk	0	0	0	0	0	0	0	0	0	0
uvijen	_	zvit	0	0	0	0	0	0	0	0	0	0
trzaj, trzati	zenuwtrekking	trzati	0	1	0	0	0	0	0	0	0	0
dvostruk	_	dvojen, dvakraten, dvodelen	0	0	0	0	0	0	0	0	0	0
tajkun	_	magnat, tajkun	0	0	0	0	0	0	0	0	0	0
tip	_	tip, tipkati	0	0	0	0	0	0	0	0	0	0
pisaća mašina, pisaći stroj	_	pisalni stroj	0	0	0	0	0	0	0	0	0	0
tajfun	tyfoon	tajfun	0	1	0	0	0	1	0	0	0	0
tipično	_	običajen	0	0	0	0	0	0	0	0	0	0
daktilograf	_	strojepisec, tipkar	0	0	0	0	0	0	0	0	0	0
tipografija	_	tipografija	0	0	0	0	0	0	0	0	0	0
tiranski	tiranniek	tiranski	0	1	1	0	1	1	0	0	0	0
tiranija	tirannie	tiranija	0	1	0	0	0	1	0	1	0	0
tiranin	tiran	tiran	0	1	1	0	1	1	0	1	0	0
guma	_	obroč, guma	0	0	0	0	0	0	0	0	0	0
sveprisutan	_	vseprisoten, povsod	0	0	0	0	0	0	0	0	0	0
sveprisutnost	_	povsod	0	0	0	0	0	0	0	0	0	0
ružnoća	lelijkheid	grdota	0	1	0	0	1	1	0	1	0	0
ružan	lelijk	grd	0	1	0	0	1	0	0	0	0	0
čir	zweer, blaar	čir, razjeda	0	1	1	0	1	1	0	1	0	0
prikriven	bijkomend, bijbedoeld	prikrit	0	1	0	0	0	0	0	0	0	0
konačan	ultiem	končen	0	0	0	1	0	0	0	1	0	0
uvjerljivo	tenslotte, uiteindelijk	nazadnje	1	0	0	1	0	0	0	0	0	0
ultimatum	ultimatum	ultimat	0	1	1	0	0	1	0	0	0	0
ultimo	_	ultimo	0	0	0	0	0	0	0	0	0	0
ultraljubičast	_	ultravijoličen	0	0	0	0	0	0	0	0	0	0
pupčani	_	popkov, oskrbovalen	0	0	0	0	0	0	0	0	0	0
sjena	_	umbra	0	0	0	0	0	0	0	0	0	0
kišobran	_	dežnik	0	0	0	0	0	0	0	0	0	0
sudac	scheidsrechter	sodnik	1	0	0	0	0	0	0	0	0	1
bezazlen	_	nesramen, predrzen	0	0	0	0	0	0	0	0	0	0
nesmanjen	_	nezmanjšan	0	0	0	0	0	0	0	0	0	0
nesposoban	ongeschikt, iet in staat, onbekwaam	nezmožen	0	1	0	0	0	0	0	1	0	0
neprihvatljiv	onaanvaardbaar, ontoelaatbaar	nesprejemljiv	0	1	0	0	0	0	0	1	0	0
bez pratnje	_	sam, brez spremstva	0	0	0	0	0	0	0	0	0	0
neodgovoran	onverklaarbaar	neodgovoren	0	1	0	1	1	0	0	1	0	1
nepriznat	niet erkend	nepriznan	0	0	0	0	0	0	0	1	0	0
nepokvaren	_	popoln, nerazredčen	0	0	0	0	0	0	0	0	0	0
bez pomoći	_	brez pomoči	0	0	0	0	0	0	0	0	0	0
nepromijenjen	_	nespremenjen	0	0	0	0	0	0	0	0	0	0
nedvosmislen	_	nedvoumen	0	0	0	0	0	0	0	0	0	0
jednoglasnost	eenstemmigheid	soglasje	1	0	0	0	0	0	0	0	0	0
jednoglasan	unaniem	soglasen	1	0	0	0	0	0	0	0	0	0
jednoglasno	_	soglasen	0	0	0	0	0	0	0	0	0	0
neočekivan	onverwachte	nepričakovan, nepredviden	0	0	0	0	0	0	0	0	1	0
neodobren	niet goedgekeurd, afgekeurd	neodobren	0	1	0	0	0	0	0	0	0	0
nenaoružan	_	neoborožen	0	0	0	0	0	0	0	0	0	0
bez pomoći	_	brez pomoči	0	0	0	0	0	0	0	0	0	0
skroman	bescheiden	skromen, preprost	1	0	0	0	0	0	0	0	0	0
nevezan	niet verbonden	nenavezan	0	1	0	0	0	0	0	0	0	0
nedostižan	onbereikbaar	nedosegljiv	0	1	1	0	0	0	0	1	0	0
nepraćen	_	nenadzorovan	0	0	0	0	0	0	0	0	0	0
neprivlačan	onaantrekkelijk	neprivlačen	0	1	0	0	1	0	0	1	0	0
neovlašten	onbevoegd	nedovoljen	0	1	0	0	0	0	0	0	0	0
neizbježan	onvermijdelijk	neizogiben	0	1	0	0	0	0	0	0	0	0
nesvjestan	onbewust	neosveščen	0	1	0	0	0	0	0	0	0	0
neuravnotežen	_	neuravnotežen	0	0	0	0	0	0	0	0	0	0
nepodnošljiv	ondraaglijk	neznosen, nevzdržen	0	1	0	0	1	0	0	1	0	0
nepobijeđen	ongeslagen	nepremagan	1	1	0	1	0	0	1	1	1	0
nevjerica	ongeloof	dvom	0	1	0	0	0	0	0	0	0	0
nevjerojatan	ongelooflijk	neverjeten	0	1	0	0	0	0	0	0	0	0
nepristran	onpartijdige	nepristranski	1	0	0	0	0	0	0	0	0	0
nerođen	ongeboren	nerojen	0	1	0	0	0	0	0	0	0	0
nevezan	_	neomejen	0	0	0	0	0	0	0	0	0	0
neograničen	_	brezmejen	0	0	0	0	0	0	0	0	0	0
nesalomljiv, neraskidiv	onbreekbaar	nezlomljiv	1	0	0	0	0	0	0	0	0	0
razuzdan	tomeloos	nebrzdan	1	1	1	1	0	1	0	0	1	0
neprekinut	ongebroken	nepoškodovan, stalen	1	0	0	0	0	0	0	0	0	1
jeziv	griezelig	skrivnosten, srhljiv	0	1	0	0	0	1	0	0	1	0
bezobziran	onverschillig	brezčuten	0	1	1	0	1	0	0	1	0	0
nesiguran	onzeker	negotov	0	1	1	0	1	1	0	0	1	0
nesigurnost	_	negotovost	0	0	0	0	0	0	0	0	0	0
neizazvan	_	nesporen	0	0	0	0	0	0	0	0	0	0
nepromjenljiv	onveranderlijk	nespremenljiv	0	1	0	0	0	0	0	0	0	0
nepromijenjen	_	nespremenjen	0	0	0	0	0	0	0	0	0	0
nepreuzet	_	nezahteven	0	0	0	0	0	0	0	0	0	0
ujak	_	stric	0	0	0	0	0	0	0	0	0	0
nečist	onrein	umazan	0	1	0	0	1	0	0	0	0	0
neudoban	ongemakkelijk	neudoben, neprijeten	0	1	0	0	0	0	0	0	0	0
neuobičajen	_	redek, nenavaden, neobičajen	0	0	0	0	0	0	0	0	0	0
neuobičajeno	_	izreden	0	0	0	0	0	0	0	0	0	0
beskompromisan	_	brezkompromisen	0	0	0	0	0	0	0	0	0	0
bezbrižan	_	brezskrben, ravnodušen	0	0	0	0	0	0	0	0	0	0
nepotvrđen	_	nepotrjen	0	0	0	0	0	0	0	0	0	0
nepovezan	_	nepovezan	0	0	0	0	0	0	0	0	0	0
nesavjestan	onredelijk	nemoralen	0	1	0	0	1	0	0	0	0	0
nesvjestan, besvjestan	bewusteloos	nezavesten	0	1	0	0	0	0	0	0	0	0
nesvijest	_	nezavest, nezavedanje	0	0	0	0	0	0	0	0	0	0
neustavan	ongrondwettig	protiustaven	0	1	0	0	0	0	0	0	0	0
neobuzdan, nesputan	ongedwongen	neomejen	1	0	0	0	0	0	1	0	0	0
nepobitan	_	nesporen	0	0	0	0	0	0	0	0	0	0
nekontroliran	oncontroleerbaar	neobvladljiv	0	1	1	1	0	0	0	0	1	0
nekontroliran	ongecontroleerd	nenadzorovan	0	1	0	0	0	0	0	0	0	0
